&b / °,R_0 / 1/s
2,3
2.1,2
2.2,4
2.3,5
2.4,3
2.5,4
2.6,6
2.7,1
2.8,3
2.9,4
3,3
3.1,7
3.2,7
3.3,5
3.4,4
3.5,6
3.6,9
3.7,9
3.8,13
3.9,10
4,7
4.1,4
4.2,10
4.3,6
4.4,9
4.5,12
4.6,10
4.7,6
4.8,11
4.9,10
5,8
5.1,15
5.2,11
5.3,4
5.4,18
5.5,20
5.6,24
5.7,42
5.8,59
5.9,60
6,61
6.1,75
6.2,80
6.3,77
6.4,91
6.5,79
6.6,91
6.7,89
6.8,116
6.9,99
7,106
7.1,102
7.2,94
7.3,90
7.4,87
7.5,107
7.6,108
7.7,75
7.8,88
7.9,117
8,120
8.1,152
8.2,147
8.3,144
8.4,138
8.5,111
8.6,100
8.7,82
8.8,87
8.9,84
9,166
9.1,311
9.2,308
9.3,256
9.4,238
9.5,172
9.6,109
9.7,57
9.8,56
9.9,53
10,68
10.1,49
10.2,37
10.3,46
10.4,72
10.5,53
10.6,52
10.7,58
10.8,50
10.9,52
11,37
11.1,40
11.2,42
11.3,27
11.4,49
11.5,51
11.6,34
11.7,37
11.8,35
11.9,38
12,35
12.1,35
12.2,24
12.3,33
12.4,36
12.5,31
12.6,23
12.7,29
12.8,28
12.9,29
13,31
13.1,29
13.2,31
13.3,28
13.4,27
13.5,25
13.6,25
13.7,17
13.8,22
13.9,18
14,31
14.1,26
14.2,25
14.3,28
14.4,27
14.5,27
14.6,29
14.7,25
14.8,26
14.9,27
15,16
