&b / R_0 / 1/s,R_1 / 1/s,R_2 / 1/s,R_3 / 1/s
2,1,1,9,6
2.1,3,0,6,1
2.2,4,3,5,5
2.3,2,1,4,10
2.4,4,0,2,7
2.5,6,3,7,4
2.6,0,5,7,2
2.7,2,2,1,7
2.8,3,3,2,10
2.9,1,1,1,2
3,4,3,4,3
3.1,2,3,5,4
3.2,1,4,3,5
3.3,1,4,6,8
3.4,3,3,4,6
3.5,0,4,3,8
3.6,2,1,6,5
3.7,5,7,5,5
3.8,5,2,7,7
3.9,2,6,6,10
4,6,6,5,11
4.1,8,13,23,24
4.2,32,53,76,96
4.3,86,125,196,239
4.4,145,220,303,338
4.5,188,319,334,475
4.6,218,304,441,516
4.7,263,398,487,642
4.8,290,411,585,671
4.9,311,478,579,676
5,280,454,571,695
5.1,339,515,593,791
5.2,371,512,677,766
5.3,340,505,622,729
5.4,347,526,658,767
5.5,368,499,625,794
5.6,372,511,651,763
5.7,340,514,654,783
5.8,352,502,667,806
5.9,343,483,659,765
6,336,515,683,799
6.1,317,487,667,749
6.2,368,540,681,785
6.3,530,733,899,1071
6.4,684,1025,1302,1495
6.5,710,863,1182,1458
6.6,473,707,874,1062
6.7,371,524,680,765
6.8,318,444,577,751
6.9,334,499,614,714
7,390,559,654,811
7.1,697,993,1218,1454
7.2,1527,2107,2440,2942
7.3,1481,2033,2492,2873
7.4,843,1152,1558,1860
7.5,411,557,747,876
7.6,263,380,493,598
7.7,274,322,450,580
7.8,202,335,451,527
7.9,212,359,404,491
8,187,286,394,485
8.1,174,264,314,463
8.2,172,286,340,415
8.3,165,262,345,388
8.4,146,234,275,408
8.5,154,228,304,363
8.6,134,208,293,350
8.7,154,200,283,350
8.8,169,185,277,315
8.9,140,186,281,337
9,125,191,236,324
9.1,146,173,216,285
9.2,129,201,273,278
9.3,128,190,229,271
9.4,108,175,240,245
9.5,108,139,223,209
9.6,85,136,184,223
9.7,84,143,170,223
9.8,86,124,167,212
9.9,96,121,162,203
10,96,121,150,188
