&b / R_0 / 1/s,R_1 / 1/s,R_2 / 1/s,R_3 / 1/s,R_4 / 1/s
2,0,0,3,7,8
2.1,0,4,3,3,6
2.2,0,3,1,7,18
2.3,0,0,1,2,15
2.4,0,0,2,5,9
2.5,0,0,1,2,12
2.6,0,0,1,12,10
2.7,1,0,2,4,13
2.8,0,0,2,5,8
2.9,2,0,2,1,6
3,0,1,2,1,4
3.1,0,2,2,3,15
3.2,0,1,3,6,10
3.3,0,1,2,3,16
3.4,1,0,1,8,22
3.5,1,0,1,6,51
3.6,0,1,2,10,129
3.7,0,3,0,6,313
3.8,0,2,2,4,553
3.9,0,0,2,4,734
4,0,0,2,9,864
4.1,0,0,2,24,954
4.2,1,0,1,102,1028
4.3,0,1,5,214,1104
4.4,0,0,4,352,1142
4.5,1,0,3,479,1167
4.6,0,0,2,533,1227
4.7,0,1,2,601,1225
4.8,0,1,6,622,1158
4.9,0,1,10,708,1207
5,0,0,36,746,1210
5.1,0,1,94,791,1226
5.2,1,1,171,792,1219
5.3,0,1,259,774,1217
5.4,0,1,313,841,1167
5.5,1,0,348,803,1157
5.6,0,1,345,770,1166
5.7,0,2,402,817,1095
5.8,0,2,428,833,1143
5.9,0,0,429,781,1101
6,2,1,473,792,1117
6.1,0,2,454,782,1051
6.2,0,9,487,806,1164
6.3,0,30,578,1115,1607
6.4,2,55,782,1576,2368
6.5,0,81,748,1512,2258
6.6,0,127,592,1066,1589
6.7,2,138,502,846,1088
6.8,0,142,485,815,987
6.9,0,175,526,739,1061
7,0,201,489,821,1147
7.1,0,153,825,1591,2274
7.2,3,214,1372,2946,4427
7.3,0,196,1384,2930,4383
7.4,0,189,805,1792,2795
7.5,0,185,510,909,1358
7.6,0,176,404,621,866
7.7,0,169,387,530,797
7.8,0,196,389,529,762
7.9,0,196,372,510,761
8,2,190,362,442,714
8.1,0,169,318,441,680
8.2,1,167,316,407,622
8.3,2,159,283,363,653
8.4,7,154,261,380,608
8.5,12,138,222,321,560
8.6,9,136,260,360,568
8.7,21,127,243,344,549
8.8,31,121,219,312,509
8.9,34,124,197,347,490
9,43,132,180,297,493
9.1,25,115,175,290,432
9.2,34,93,180,311,445
9.3,27,85,115,300,433
9.4,33,74,116,304,387
9.5,27,72,119,233,378
9.6,31,74,114,240,362
9.7,25,47,97,242,366
9.8,17,63,108,206,316
9.9,19,51,73,228,312
10,17,52,69,201,286
